label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5573,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5573,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5581,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5578,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5573,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5572,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5576,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5574,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5567,303208,1
ATTACK,1,0.9367,5555,303208,1
NORMAL,0,0.0219,5579,303208,1
ATTACK,1,0.9367,5554,303208,1
NORMAL,0,0.0219,5568,303208,1
ATTACK,1,0.9367,5598,303208,1
NORMAL,0,0.0219,5570,303208,1
ATTACK,1,0.9367,5556,303208,1
NORMAL,0,0.0219,5571,303208,1
