label,pred,prob,latency_us,sram_bytes,correct
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7807,308808,1
NORMAL,0,0.0369,8672,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8670,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8674,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8681,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8678,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8669,308808,1
ATTACK,1,0.9744,7807,308808,1
NORMAL,0,0.0369,8664,308808,1
ATTACK,1,0.9744,7805,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8661,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8671,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8674,308808,1
ATTACK,1,0.9744,7807,308808,1
NORMAL,0,0.0369,8678,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8671,308808,1
ATTACK,1,0.9744,7804,308808,1
NORMAL,0,0.0369,8673,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8671,308808,1
ATTACK,1,0.9744,7806,308808,1
NORMAL,0,0.0369,8669,308808,1
ATTACK,1,0.9744,7853,308808,1
NORMAL,0,0.0369,8676,308808,1
ATTACK,1,0.9744,7807,308808,1
NORMAL,0,0.0369,8671,308808,1
